entry_time,exit_time,position,entry_price,target_price,stop_loss_price,lot_size,pnl_points,pnl_currency,bars_held,exit_reason,strategy,confidence,capital
2024-12-10 10:07:00,2024-12-10 10:11:00,BUY,24663.5,24668.83,24660.83,75,-2.67,-250.0,1,STOP_LOSS,multi_indicator_combo,90.0,19750.0
2024-12-10 12:19:00,2024-12-10 12:23:00,SELL,24579.95,24574.62,24582.62,75,-2.67,-250.0,1,STOP_LOSS,multi_indicator_combo,85.8,19500.0
2024-12-10 12:31:00,2024-12-10 12:35:00,SELL,24578.95,24573.62,24581.62,75,5.33,350.0,1,TARGET,multi_indicator_combo,90.0,19850.0
2024-12-10 12:35:00,2024-12-10 12:39:00,SELL,24551.05,24545.72,24553.72,75,-2.67,-250.0,1,STOP_LOSS,multi_indicator_combo,70.9,19600.0
2024-12-10 12:39:00,2024-12-10 12:43:00,SELL,24549.3,24543.97,24551.97,75,-2.67,-250.0,1,STOP_LOSS,multi_indicator_combo,84.1,19350.0
2024-12-10 12:43:00,2024-12-10 12:47:00,SELL,24554.85,24549.52,24557.52,75,-2.67,-250.0,1,STOP_LOSS,multi_indicator_combo,90.0,19100.0
2024-12-10 12:47:00,2024-12-10 12:51:00,SELL,24555.85,24550.52,24558.52,75,5.33,350.0,1,TARGET,multi_indicator_combo,90.0,19450.0
2024-12-10 12:55:00,2024-12-10 12:59:00,SELL,24560.2,24554.87,24562.87,75,-2.67,-250.0,1,STOP_LOSS,multi_indicator_combo,90.0,19200.0
2024-12-10 12:59:00,2024-12-10 13:03:00,SELL,24559.5,24554.17,24562.17,75,-2.67,-250.0,1,STOP_LOSS,multi_indicator_combo,90.0,18950.0
2024-12-10 15:05:00,2024-12-10 15:09:00,BUY,24606.75,24612.08,24604.08,75,5.33,350.0,1,TARGET,multi_indicator_combo,73.4,19300.0
2024-12-10 15:17:00,2024-12-10 15:21:00,BUY,24614.4,24619.73,24611.73,75,-2.67,-250.0,1,STOP_LOSS,multi_indicator_combo,83.9,19050.0
